Active?,Calculation4,Country,Dt Customer,Education,ID,Marital Status,Num Web Visits Month,Year Birth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Calculation1,Calculation2,Camp 1 %,Camp 2 %,Camp 3%,Camp 4 %,CAmp 5 %,color,Complain,F1,Income,Kidhome,Mnt Fish Products,Mnt Fruits,Mnt Gold Prods,Mnt Meat Products,Mnt Sweet Products,Mnt Wines,Num Catalog Purchases,Num Deals Purchases,Num Store Purchases,Num Web Purchases,Recency,Response,Teenhome
Active,okay,Spain,14-02-2013,Bachelor's Degree,3657,Single,8,1986,0,0,0,0,0,0.000334444,1,0,0,0,0,0,col,0,43,39146,1,13,1,12,33,12,94,0,3,4,4,1,0,0
Active,okay,Spain,14-02-2013,2n Cycle,5740,Divorced,6,1970,0,0,0,0,0,0.000221781,1,0,0,0,0,0,col,0,44,25959,1,7,2,26,12,5,4,2,2,2,1,1,1,1
Active,okay,Spain,11-01-2013,Bachelor's Degree,9595,Together,3,1961,0,0,0,0,0,0.000549005,1,0,0,0,0,0,col,0,45,64260,0,20,169,30,816,0,539,5,1,4,4,1,1,0
Active,okay,Spain,03-01-2013,Bachelor's Degree,3158,Married,8,1973,0,0,0,0,0,0.000275955,1,0,0,0,0,0,col,0,46,32300,1,6,3,6,6,5,13,0,1,3,1,1,0,0
Active,okay,Australia,19-12-2012,Master,5114,Married,4,1965,0,0,0,0,0,0.000639105,1,0,0,0,0,0,col,0,47,74806,0,0,9,9,249,28,670,4,2,5,5,1,0,1
Active,okay,Germany,15-12-2012,Bachelor's Degree,340,Divorced,5,1970,0,0,1,0,0,0.000623394,1,0,0,0.000446429,0,0,col,0,48,72967,0,0,35,125,179,0,158,2,2,8,7,1,1,1
Active,okay,USA,02-12-2012,Bachelor's Degree,8805,Single,8,1960,0,0,0,0,0,0.000417811,1,0,0,0,0,0,col,0,49,48904,0,0,10,27,38,13,283,2,4,4,7,1,0,1
Active,okay,Germany,17-09-2012,2n Cycle,1241,Married,9,1984,0,0,0,0,0,0.000126410,1,0,0,0,0,0,col,0,50,14796,1,7,3,16,8,4,13,0,2,3,1,1,1,0
Active,okay,Germany,11-09-2012,Master,1402,Married,3,1954,0,0,0,0,0,0.000572338,1,0,0,0,0,0,col,0,51,66991,0,189,36,12,460,60,496,8,3,6,4,1,0,0
Active,okay,Saudi Arabia,12-05-2014,2n Cycle,7264,Single,8,1978,0,0,0,0,0,0.000445928,1,0,0,0,0,0,col,0,52,52195,2,0,0,1,4,0,12,0,1,2,1,2,0,1
Active,okay,Spain,28-04-2014,Bachelor's Degree,1619,Married,1,1956,0,0,0,0,0,0.000772068,1,0,0,0,0,0,col,0,53,90369,0,224,51,17,981,23,292,6,1,6,4,2,1,0
Active,okay,Spain,29-03-2014,Basic,6398,Married,8,1974,0,0,0,0,0,0.000157141,1,0,0,0,0,0,col,0,54,18393,1,16,10,4,13,0,7,0,2,3,3,2,0,0
Active,okay,Spain,06-03-2014,Bachelor's Degree,1857,Single,7,1952,0,0,0,0,0,0.000402732,1,0,0,0,0,0,col,0,55,47139,1,0,0,23,12,2,46,1,2,2,2,2,1,1
Active,okay,India,04-03-2014,Master,4877,Married,7,1973,0,0,0,0,0,0.000329574,1,0,0,0,0,0,col,0,56,38576,0,0,0,0,7,0,34,0,1,3,1,2,0,1
Active,okay,Saudi Arabia,04-02-2014,PhD,3066,Together,5,1975,0,0,0,0,0,0.000528885,1,0,0,0,0,0,col,0,57,61905,0,6,0,13,43,2,167,2,2,4,4,2,0,1
Active,okay,Saudi Arabia,03-02-2014,Bachelor's Degree,10286,Married,0,1962,0,0,0,0,0,0.000715219,1,0,0,0,0,0,col,0,58,83715,0,150,8,8,407,35,318,8,1,13,2,2,0,0
Active,okay,Spain,01-01-2014,Bachelor's Degree,1992,Married,7,1964,1,0,0,0,0,0.000517710,1,0.000446429,0,0,0,0,col,0,59,60597,0,32,0,66,257,16,522,2,4,8,2,2,1,1
Active,okay,Spain,12-12-2013,Master,4246,Single,17,1982,0,0,0,0,0,5.604536250e-05,1,0,0,0,0,0,col,0,60,6560,0,4,11,262,26,3,67,0,0,1,1,2,0,0
Active,okay,Spain,15-11-2013,Master,10623,Together,5,1961,0,0,0,0,0,0.000412907,1,0,0,0,0,0,col,0,61,48330,0,0,0,0,4,0,28,0,1,3,1,2,0,1
Active,okay,Spain,20-09-2013,PhD,4867,Single,7,1968,0,0,0,0,0,0.000326669,1,0,0,0,0,0,col,0,62,38236,1,2,0,10,18,0,58,0,4,4,3,2,0,1
Active,okay,Spain,05-09-2013,Master,3112,Married,5,1977,0,0,0,0,0,0.000193946,1,0,0,0,0,0,col,0,63,22701,1,0,4,5,9,4,2,0,1,3,1,2,0,0
Active,okay,Australia,31-08-2013,Master,4865,Divorced,7,1974,0,0,0,0,0,0.000455941,1,0,0,0,0,0,col,0,64,53367,1,10,7,11,140,3,229,1,7,8,5,2,1,1
Active,okay,Spain,30-07-2013,Bachelor's Degree,6287,Together,6,1986,0,0,0,0,0,0.000296699,1,0,0,0,0,0,col,0,65,34728,1,0,0,6,16,0,14,1,1,2,1,2,1,0
Active,okay,Australia,30-07-2013,Master,4405,Married,5,1956,0,0,0,0,0,0.000546058,1,0,0,0,0,0,col,0,66,63915,0,30,7,15,115,0,622,3,2,12,6,2,0,2
Active,okay,India,27-07-2013,2n Cycle,5332,Married,1,1960,0,0,0,0,0,0.000704873,1,0,0,0,0,0,col,0,67,82504,0,134,50,54,431,35,362,6,1,7,3,2,0,0
Active,okay,Spain,22-06-2013,PhD,1519,Single,8,1972,0,0,0,0,0,0.000329591,1,0,0,0,0,0,col,0,68,38578,1,3,4,3,22,3,38,0,3,3,3,2,1,1
Active,okay,Spain,22-06-2013,PhD,9080,Single,8,1972,0,0,0,0,0,0.000329591,1,0,0,0,0,0,col,0,69,38578,1,3,4,3,22,3,38,0,3,3,3,2,0,1
Active,okay,Canada,11-01-2013,PhD,1772,Married,2,1975,1,0,0,0,1,0.000676423,1,0.000446429,0,0,0,0.000446429,col,0,70,79174,0,193,37,129,518,92,1074,6,1,7,5,2,1,0
Active,okay,Saudi Arabia,05-01-2013,2n Cycle,5341,Divorced,7,1962,0,0,0,0,1,0.000700353,1,0,0,0,0,0.000446429,col,0,71,81975,0,180,76,27,184,138,983,3,1,4,6,2,0,1
Active,okay,Spain,21-11-2012,Master,5510,Married,5,1977,0,0,0,0,0,0.000369617,1,0,0,0,0,0,col,0,72,43263,0,0,6,102,61,10,262,2,3,6,5,2,0,1
Active,okay,India,11-11-2012,Bachelor's Degree,3887,Single,9,1970,0,0,0,0,0,0.000232742,1,0,0,0,0,0,col,0,73,27242,1,20,17,39,26,1,3,0,2,3,2,2,1,0
Active,okay,Saudi Arabia,28-09-2012,Bachelor's Degree,7022,Married,6,1971,0,0,0,0,0,0.000653108,1,0,0,0,0,0,col,0,74,76445,1,140,107,35,309,80,739,5,1,13,2,2,0,0
Active,okay,Spain,27-09-2012,Bachelor's Degree,9999,Together,5,1965,0,0,0,0,0,0.000643121,1,0,0,0,0,0,col,0,75,75276,0,137,105,21,125,42,610,4,1,9,9,2,0,0
Active,okay,Saudi Arabia,07-09-2012,Bachelor's Degree,10352,Widow,9,1963,0,0,0,0,0,0.000292299,1,0,0,0,0,0,col,0,76,34213,1,6,4,26,28,3,50,1,3,2,3,2,1,1
Active,okay,Spain,13-08-2012,PhD,7919,Together,8,1976,0,0,0,0,0,0.000617994,1,0,0,0,0,0,col,0,77,72335,0,28,105,0,653,21,1285,4,1,8,10,2,1,0
Active,okay,Australia,11-08-2012,Master,4114,Married,3,1964,0,0,0,0,0,0.000676158,1,0,0,0,0,0,col,0,78,79143,0,27,37,32,780,167,650,9,1,13,6,2,0,0
Active,okay,Canada,02-08-2012,Bachelor's Degree,7990,Married,6,1947,0,0,0,0,0,0.000234681,1,0,0,0,0,0,col,0,79,27469,0,3,1,0,2,2,9,0,1,3,0,2,0,0
Active,okay,Spain,25-06-2014,Bachelor's Degree,9888,Together,2,1969,0,0,0,0,0,0.000586896,1,0,0,0,0,0,col,0,80,68695,0,106,81,40,356,50,458,4,1,7,4,3,0,0
Active,okay,Canada,25-06-2014,Bachelor's Degree,4399,Together,2,1969,0,0,0,0,0,0.000586896,1,0,0,0,0,0,col,0,81,68695,0,106,81,40,356,50,458,4,1,7,4,3,0,0
Active,okay,Germany,28-05-2014,Bachelor's Degree,4452,Single,7,1957,1,0,0,1,0,0.000430490,1,0.000446429,0,0,0.000446429,0,col,0,82,50388,0,0,6,34,37,3,292,1,4,6,6,3,1,1
Active,okay,Saudi Arabia,14-04-2014,PhD,4785,Together,3,1970,0,0,0,0,0,0.000663164,1,0,0,0,0,0,col,0,83,77622,0,19,7,14,154,0,520,3,2,11,6,3,0,2
Active,okay,Spain,10-03-2014,Bachelor's Degree,8461,Divorced,7,1962,0,0,0,0,0,0.000393872,1,0,0,0,0,0,col,0,84,46102,2,0,0,1,1,0,14,0,1,2,1,3,0,1
Active,okay,Spain,27-02-2014,2n Cycle,3878,Single,7,1980,0,0,0,0,0,0.000272187,1,0,0,0,0,0,col,0,85,31859,1,15,4,11,7,8,3,0,1,3,1,3,0,0
Active,okay,Spain,07-02-2014,2n Cycle,9612,Single,7,1987,0,0,0,0,0,0.000203592,1,0,0,0,0,0,col,0,86,23830,0,4,8,16,6,8,1,0,1,3,1,3,0,0
Active,okay,Australia,28-01-2014,Bachelor's Degree,4098,Married,6,1973,0,0,0,0,0,0.000210503,1,0,0,0,0,0,col,0,87,24639,1,0,3,1,16,4,20,0,3,4,2,3,0,1
Active,okay,Spain,17-11-2013,PhD,158,Together,4,1945,0,0,1,0,0,0.000611749,1,0,0,0.000446429,0,0,col,0,88,71604,0,98,53,97,528,75,345,3,1,5,8,3,1,0
Active,okay,Spain,07-11-2013,Bachelor's Degree,3896,Married,7,1984,0,0,0,0,0,0.000232853,1,0,0,0,0,0,col,0,89,27255,1,0,1,2,11,1,22,0,1,3,1,3,0,0
Active,okay,Canada,17-10-2013,Bachelor's Degree,9970,Together,2,1977,0,0,0,0,0,0.000473096,1,0,0,0,0,0,col,0,90,55375,0,10,11,14,57,28,42,1,1,6,1,3,0,1
Active,okay,Spain,13-10-2013,PhD,4002,Married,3,1960,0,0,0,0,0,0.000658166,1,0,0,0,0,0,col,0,91,77037,0,168,96,10,333,53,463,7,1,12,7,3,0,1
Active,okay,Spain,12-10-2013,Bachelor's Degree,10914,Single,4,1970,0,0,0,0,0,0.000206437,1,0,0,0,0,0,col,0,92,24163,1,2,1,2,7,1,4,0,2,3,1,3,0,1
Active,okay,USA,30-09-2013,PhD,7279,Together,2,1969,0,0,0,0,0,0.000593568,1,0,0,0,0,0,col,0,93,69476,0,63,86,67,559,9,260,6,1,4,4,3,0,0
Active,okay,Germany,03-07-2013,Bachelor's Degree,10582,Married,2,1979,0,0,0,0,0,0.000615670,1,0,0,0,0,0,col,0,94,72063,0,76,32,90,348,32,180,2,2,12,5,3,0,1
Active,okay,Spain,10-06-2013,Master,4470,Married,4,1962,0,0,0,0,0,0.000501042,1,0,0,0,0,0,col,0,95,58646,0,6,1,22,44,5,62,1,1,4,2,3,0,1
Active,okay,Germany,10-06-2013,Master,6183,Married,4,1962,0,0,0,0,0,0.000501042,1,0,0,0,0,0,col,0,96,58646,0,6,1,22,44,5,62,1,1,4,2,3,0,1
Active,okay,USA,29-05-2013,Master,6379,Widow,7,1949,0,0,0,0,0,0.000406414,1,0,0,0,0,0,col,0,97,47570,1,0,1,31,20,2,67,2,3,2,2,3,1,1
Active,okay,Australia,29-04-2013,Bachelor's Degree,8601,Married,4,1980,0,0,0,0,0,0.000683574,1,0,0,0,0,0,col,0,98,80011,0,82,76,102,536,178,421,6,2,5,8,3,0,1
Active,okay,Spain,10-03-2013,PhD,4827,Single,4,1956,0,0,0,0,0,0.000469875,1,0,0,0,0,0,col,0,99,54998,0,39,22,8,202,30,154,2,5,9,4,3,1,1
Active,okay,Spain,02-01-2013,PhD,6715,Single,6,1948,0,0,0,0,0,0.000514319,1,0,0,0,0,0,col,0,100,60200,0,0,19,26,132,6,502,2,6,11,6,3,0,1
Active,okay,Spain,02-11-2012,Bachelor's Degree,10676,Married,2,1982,0,0,0,0,0,0.000540043,1,0,0,0,0,0,col,0,101,63211,0,205,193,145,459,26,145,8,2,7,3,3,1,0
Active,okay,Saudi Arabia,18-10-2012,PhD,1041,Single,8,1973,0,0,0,0,0,0.000413779,1,0,0,0,0,0,col,0,102,48432,0,4,3,42,50,3,322,1,5,6,7,3,1,1
Active,okay,Canada,18-10-2012,PhD,492,YOLO,8,1973,0,0,0,0,0,0.000413779,1,0,0,0,0,0,col,0,103,48432,0,4,3,42,50,3,322,1,5,6,7,3,0,1
Active,okay,India,18-10-2012,PhD,11133,YOLO,8,1973,0,0,0,0,0,0.000413779,1,0,0,0,0,0,col,0,104,48432,0,4,3,42,50,3,322,1,5,6,7,3,1,1
Active,okay,Spain,01-10-2012,Master,4491,Married,8,1949,0,0,0,1,0,0.000536916,1,0,0,0,0.000446429,0,col,0,105,62845,1,0,0,34,45,0,1099,4,11,10,3,3,0,1
Active,okay,Spain,01-10-2012,Master,873,Married,8,1949,0,0,0,1,0,0.000536916,1,0,0,0,0.000446429,0,col,0,106,62845,1,0,0,34,45,0,1099,4,11,10,3,3,1,1
Active,okay,Germany,03-09-2012,PhD,1631,Together,6,1965,0,0,0,0,0,0.000557207,1,0,0,0,0,0,col,0,107,65220,0,0,63,12,292,25,890,4,4,7,8,3,1,0
Active,okay,Spain,26-08-2012,PhD,8278,Married,5,1990,0,0,0,0,0,0.000634047,1,0,0,0,0,0,col,0,108,74214,0,86,83,33,547,99,863,2,1,5,8,3,0,0
Active,okay,Spain,23-05-2014,2n Cycle,6815,Married,2,1980,1,0,1,0,1,0.000824849,1,0.000446429,0,0.000446429,0,0.000446429,col,0,109,96547,0,52,21,62,125,101,448,6,0,8,7,4,1,0
Active,okay,Spain,17-05-2014,Bachelor's Degree,254,Together,7,1955,0,0,0,1,0,0.000460179,1,0,0,0,0.000446429,0,col,0,110,53863,0,6,4,30,30,4,399,1,3,7,7,4,0,1
Active,okay,India,21-04-2014,Bachelor's Degree,1349,Married,6,1970,0,0,0,0,0,0.000430994,1,0,0,0,0,0,col,0,111,50447,2,2,7,27,24,3,85,1,1,3,3,4,0,0
Active,okay,Australia,21-04-2014,Bachelor's Degree,2534,Married,7,1953,0,0,0,0,0,0.000322227,1,0,0,0,0,0,col,0,112,37716,0,6,1,41,41,2,97,1,2,3,4,4,0,1
Active,okay,Saudi Arabia,23-03-2014,Bachelor's Degree,2130,Together,6,1982,0,0,0,0,0,0.000386192,1,0,0,0,0,0,col,0,113,45203,2,10,3,24,67,8,35,1,1,3,3,4,1,0
Active,okay,Spain,16-12-2013,Master,2296,Married,6,1975,0,0,1,0,0,0.000319254,1,0,0,0.000446429,0,0,col,0,114,37368,1,2,2,10,11,2,3,0,1,2,1,4,0,0
Active,okay,USA,26-11-2013,Bachelor's Degree,3799,Married,5,1955,0,0,0,0,0,0.000574337,1,0,0,0,0,0,col,0,115,67225,0,46,35,143,322,7,315,2,3,11,7,4,0,1
Active,okay,Canada,14-11-2013,Master,11084,Together,7,1976,0,0,0,0,0,0.000556216,1,0,0,0,0,0,col,0,116,65104,0,13,0,50,232,20,738,5,2,7,3,4,1,1
Active,okay,Spain,14-11-2013,Master,5172,Together,7,1976,0,0,0,0,0,0.000556216,1,0,0,0,0,0,col,0,117,65104,0,13,0,50,232,20,738,5,2,7,3,4,0,1
Active,okay,Spain,06-11-2013,Master,9504,Married,1,1949,0,0,0,0,0,0.000697987,1,0,0,0,0,0,col,0,118,81698,0,111,28,47,520,123,179,8,1,13,3,4,1,0
Active,okay,Spain,06-10-2013,Bachelor's Degree,850,Single,3,1968,0,0,0,0,0,0.000602881,1,0,0,0,0,0,col,0,119,70566,0,84,28,21,215,28,381,5,2,9,6,4,0,1
Active,okay,Germany,27-09-2013,Bachelor's Degree,4477,Together,4,1958,0,0,0,0,0,0.000590322,1,0,0,0,0,0,col,0,120,69096,0,7,49,109,159,82,247,2,1,10,5,4,0,1
Active,okay,Spain,18-09-2013,Bachelor's Degree,1945,Married,4,1962,1,0,0,1,0,0.000610296,1,0.000446429,0,0,0.000446429,0,col,0,121,71434,0,172,36,168,217,96,711,4,3,7,7,4,0,1
Active,okay,Spain,09-09-2013,Bachelor's Degree,7685,Married,5,1978,0,0,0,0,0,0.000282269,1,0,0,0,0,0,col,0,122,33039,1,8,8,12,12,8,30,0,1,4,2,4,0,0
Active,okay,Canada,09-09-2013,Bachelor's Degree,6310,Married,5,1978,0,0,0,0,0,0.000282269,1,0,0,0,0,0,col,0,123,33039,1,8,8,12,12,8,30,0,1,4,2,4,0,0
Active,okay,Spain,18-07-2013,Bachelor's Degree,10832,Together,6,1958,0,0,0,0,0,0.000398213,1,0,0,0,0,0,col,0,124,46610,0,4,10,125,30,10,288,1,1,6,6,4,0,0
Active,okay,Canada,08-07-2013,Bachelor's Degree,3025,Single,7,1958,0,0,0,0,0,0.000426893,1,0,0,0,0,0,col,0,125,49967,0,4,6,3,69,12,212,1,3,5,6,4,0,1
Active,okay,USA,27-05-2013,Bachelor's Degree,2404,Married,7,1976,0,0,0,0,0,0.000455873,1,0,0,0,0,0,col,0,126,53359,1,3,4,41,30,6,173,1,4,4,5,4,0,1
Active,okay,Spain,05-03-2013,Master,8581,Married,8,1971,0,0,0,0,0,0.000422946,1,0,0,0,0,0,col,0,127,49505,1,19,0,28,100,0,604,2,9,8,10,4,0,1
Active,okay,Australia,20-02-2013,Master,8755,Married,7,1946,0,0,0,0,0,0.000586571,1,0,0,0,0,0,col,0,128,68657,0,119,34,22,471,68,482,5,1,9,3,4,0,0
Active,okay,Spain,14-02-2013,Bachelor's Degree,10177,Divorced,2,1954,0,0,0,0,0,0.000615739,1,0,0,0,0,0,col,0,129,72071,0,150,69,150,300,138,531,4,3,8,5,4,0,1
Active,okay,Canada,14-02-2013,Bachelor's Degree,2429,Divorced,2,1954,0,0,0,0,0,0.000615739,1,0,0,0,0,0,col,0,130,72071,0,150,69,150,300,138,531,4,3,8,5,4,0,1
Active,okay,India,12-01-2013,Master,8920,Single,7,1967,0,0,0,0,0,0.000506074,1,0,0,0,0,0,col,0,131,59235,1,80,40,91,469,0,448,2,3,12,11,4,0,0
